matchid,date,year,city,venue,team1,team2,result,tossdecision,winner,by_what,by_how_many,mom
1254087,2021-05-03T14:00Z,2021,"Narendra Modi Stadium, Motera, Ahmedabad","Narendra Modi Stadium, Motera, Ahmedabad",Kolkata Knight Riders,Royal Challengers Bangalore,Starts at 7:30 PM local time,,Match Tied/Cancelled/Not yet ended,,[],
1254088,2021-05-04T14:00Z,2021,"Arun Jaitley Stadium, Delhi","Arun Jaitley Stadium, Delhi",Sunrisers Hyderabad,Mumbai Indians,Starts at 7:30 PM local time,,Match Tied/Cancelled/Not yet ended,,[],
1254089,2021-05-05T14:00Z,2021,"Arun Jaitley Stadium, Delhi","Arun Jaitley Stadium, Delhi",Rajasthan Royals,Chennai Super Kings,Starts at 7:30 PM local time,,Match Tied/Cancelled/Not yet ended,,[],
1254090,2021-05-06T14:00Z,2021,"Narendra Modi Stadium, Motera, Ahmedabad","Narendra Modi Stadium, Motera, Ahmedabad",Royal Challengers Bangalore,Punjab Kings,Starts at 7:30 PM local time,,Match Tied/Cancelled/Not yet ended,,[],
1254091,2021-05-07T14:00Z,2021,"Arun Jaitley Stadium, Delhi","Arun Jaitley Stadium, Delhi",Sunrisers Hyderabad,Chennai Super Kings,Starts at 7:30 PM local time,,Match Tied/Cancelled/Not yet ended,,[],
1254092,2021-05-08T10:00Z,2021,"Narendra Modi Stadium, Motera, Ahmedabad","Narendra Modi Stadium, Motera, Ahmedabad",Kolkata Knight Riders,Delhi Capitals,Starts at 3:30 PM local time,,Match Tied/Cancelled/Not yet ended,,[],
1254093,2021-05-08T14:00Z,2021,"Arun Jaitley Stadium, Delhi","Arun Jaitley Stadium, Delhi",Rajasthan Royals,Mumbai Indians,Starts at 7:30 PM local time,,Match Tied/Cancelled/Not yet ended,,[],
1254094,2021-05-09T10:00Z,2021,"M.Chinnaswamy Stadium, Bengaluru","M.Chinnaswamy Stadium, Bengaluru",Chennai Super Kings,Punjab Kings,Starts at 3:30 PM local time,,Match Tied/Cancelled/Not yet ended,,[],
1254095,2021-05-09T14:00Z,2021,"Eden Gardens, Kolkata","Eden Gardens, Kolkata",Royal Challengers Bangalore,Sunrisers Hyderabad,Starts at 7:30 PM local time,,Match Tied/Cancelled/Not yet ended,,[],
1254096,2021-05-10T14:00Z,2021,"M.Chinnaswamy Stadium, Bengaluru","M.Chinnaswamy Stadium, Bengaluru",Mumbai Indians,Kolkata Knight Riders,Starts at 7:30 PM local time,,Match Tied/Cancelled/Not yet ended,,[],
1254097,2021-05-11T14:00Z,2021,"Eden Gardens, Kolkata","Eden Gardens, Kolkata",Delhi Capitals,Rajasthan Royals,Starts at 7:30 PM local time,,Match Tied/Cancelled/Not yet ended,,[],
1254098,2021-05-12T14:00Z,2021,"M.Chinnaswamy Stadium, Bengaluru","M.Chinnaswamy Stadium, Bengaluru",Chennai Super Kings,Kolkata Knight Riders,Starts at 7:30 PM local time,,Match Tied/Cancelled/Not yet ended,,[],
1254099,2021-05-13T10:00Z,2021,"M.Chinnaswamy Stadium, Bengaluru","M.Chinnaswamy Stadium, Bengaluru",Mumbai Indians,Punjab Kings,Starts at 3:30 PM local time,,Match Tied/Cancelled/Not yet ended,,[],
1254100,2021-05-13T14:00Z,2021,"Eden Gardens, Kolkata","Eden Gardens, Kolkata",Sunrisers Hyderabad,Rajasthan Royals,Starts at 7:30 PM local time,,Match Tied/Cancelled/Not yet ended,,[],
1254101,2021-05-14T14:00Z,2021,"Eden Gardens, Kolkata","Eden Gardens, Kolkata",Royal Challengers Bangalore,Delhi Capitals,Starts at 7:30 PM local time,,Match Tied/Cancelled/Not yet ended,,[],
1254102,2021-05-15T14:00Z,2021,"M.Chinnaswamy Stadium, Bengaluru","M.Chinnaswamy Stadium, Bengaluru",Kolkata Knight Riders,Punjab Kings,Starts at 7:30 PM local time,,Match Tied/Cancelled/Not yet ended,,[],
1254103,2021-05-16T10:00Z,2021,"Eden Gardens, Kolkata","Eden Gardens, Kolkata",Rajasthan Royals,Royal Challengers Bangalore,Starts at 3:30 PM local time,,Match Tied/Cancelled/Not yet ended,,[],
1254104,2021-05-16T14:00Z,2021,"M.Chinnaswamy Stadium, Bengaluru","M.Chinnaswamy Stadium, Bengaluru",Chennai Super Kings,Mumbai Indians,Starts at 7:30 PM local time,,Match Tied/Cancelled/Not yet ended,,[],
1254105,2021-05-17T14:00Z,2021,"Eden Gardens, Kolkata","Eden Gardens, Kolkata",Delhi Capitals,Sunrisers Hyderabad,Starts at 7:30 PM local time,,Match Tied/Cancelled/Not yet ended,,[],
1254106,2021-05-18T14:00Z,2021,"M.Chinnaswamy Stadium, Bengaluru","M.Chinnaswamy Stadium, Bengaluru",Kolkata Knight Riders,Rajasthan Royals,Starts at 7:30 PM local time,,Match Tied/Cancelled/Not yet ended,,[],
1254107,2021-05-19T14:00Z,2021,"M.Chinnaswamy Stadium, Bengaluru","M.Chinnaswamy Stadium, Bengaluru",Sunrisers Hyderabad,Punjab Kings,Starts at 7:30 PM local time,,Match Tied/Cancelled/Not yet ended,,[],
1254108,2021-05-20T14:00Z,2021,"Eden Gardens, Kolkata","Eden Gardens, Kolkata",Royal Challengers Bangalore,Mumbai Indians,Starts at 7:30 PM local time,,Match Tied/Cancelled/Not yet ended,,[],
1254109,2021-05-21T10:00Z,2021,"M.Chinnaswamy Stadium, Bengaluru","M.Chinnaswamy Stadium, Bengaluru",Kolkata Knight Riders,Sunrisers Hyderabad,Starts at 3:30 PM local time,,Match Tied/Cancelled/Not yet ended,,[],
1254110,2021-05-21T14:00Z,2021,"Eden Gardens, Kolkata","Eden Gardens, Kolkata",Delhi Capitals,Chennai Super Kings,Starts at 7:30 PM local time,,Match Tied/Cancelled/Not yet ended,,[],
1254111,2021-05-22T14:00Z,2021,"M.Chinnaswamy Stadium, Bengaluru","M.Chinnaswamy Stadium, Bengaluru",Punjab Kings,Rajasthan Royals,Starts at 7:30 PM local time,,Match Tied/Cancelled/Not yet ended,,[],
1254112,2021-05-23T10:00Z,2021,"Eden Gardens, Kolkata","Eden Gardens, Kolkata",Mumbai Indians,Delhi Capitals,Starts at 3:30 PM local time,,Match Tied/Cancelled/Not yet ended,,[],
1254113,2021-05-23T14:00Z,2021,"Eden Gardens, Kolkata","Eden Gardens, Kolkata",Royal Challengers Bangalore,Chennai Super Kings,Starts at 7:30 PM local time,,Match Tied/Cancelled/Not yet ended,,[],
