ipl20_name,old_name
Avesh Khan,Avesh Khan
Alex Carey,Alex Carey
Tushar Deshpande,Tushar Deshpande
Sandeep Lamichhane,S Lamichhane
Amit Mishra,A Mishra
Harshal Patel,HV Patel
Keemo Paul,KMA Paul
Ajinkya Rahane,AM Rahane
Daniel Sams,Daniel Sams
Ishant Sharma,I Sharma
Lalit Yadav,Lalit Yadav
Arshdeep Singh,A Singh
Murugan Ashwin,M Ashwin
Chris Gayle,CH Gayle
Harpreet Brar,Harpreet Brar
Deepak Hooda,DJ Hooda
Mandeep Singh,Mandeep Singh
Mujeeb Ur Rahman,Mujeeb Ur Rahman
Darshan Nalkande,Darshan Nalkande
James Neesham,JDS Neesham
Ishan Porel,Ishan Porel
Simran Singh,P Simran Singh
Jagadeesha Suchith,J Suchith
Tajinder Singh,Tajinder Singh
Hardus Viljoen,GC Viljoen
Steven Smith,SPD Smith
Varun Aaron,VR Aaron
Akash Singh,Akash Singh
Anuj Rawat,Anuj Rawat
Jos Buttler,JC Buttler
Yashasvi Jaiswal,Yashasvi Jaiswal
Aniruddha Joshi,Aniruddha Joshi
Kartik Tyagi,Kartik Tyagi
Mahipal Lomror,MK Lomror
Mayank Markande,M Markande
Ankit Rajpoot,AS Rajpoot
Shashank Singh,Shashank Singh
Ben Stokes,BA Stokes
Oshane Thomas,Oshane Thomas
Andrew Tye,AJ Tye
Manan Vohra,M Vohra
KM Asif,Mohammad Asif
Dwayne Bravo,DJ Bravo
Josh Hazlewood,Josh Hazlewood
Imran Tahir,Imran Tahir
Narayan Jagadeesan,Narayan Jagadeesan
Monu Kumar,Monu Kumar
Ravisrinivasan Sai Kishore,Ravisrinivasan Sai Kishore
Mitchell Santner,MJ Santner
Karn Sharma,KV Sharma
Shardul Thakur,SN Thakur
Dinesh Karthik,KD Kartik
Mitchell Marsh,MR Marsh
