playername,playing_role,playing_team,opposition_team,playercost
IS Sodhi,Bowler,Rajasthan Royals,,10
Imran Tahir,Bowler,Chennai Super Kings,,9.5
JD Unadkat,Bowler,Rajasthan Royals,,8.5
K Gowtham,Bowler,Rajasthan Royals,,10
MK Lomror,AllRounder,Rajasthan Royals,,10
MS Dhoni,Batsmen,Chennai Super Kings,,9.5
O Thomas,Bowler,Rajasthan Royals,,8
R Parag,AllRounder,Rajasthan Royals,,8.5
RA Jadeja,AllRounder,Chennai Super Kings,,8.5
S Gopal,Bowler,Rajasthan Royals,,8.5
SK Raina,Batsmen,Chennai Super Kings,,10
SN Thakur,Bowler,Chennai Super Kings,,8.5
SR Watson,AllRounder,Chennai Super Kings,,9.5
STR Binny,AllRounder,Rajasthan Royals,,10
SV Samson,Batsmen,Rajasthan Royals,,9.5
VR Aaron,Bowler,Rajasthan Royals,,8
SPD Smith,Batsmen,Delhi Capitals,,9.5
RV Uthappa,Batsmen,Rajasthan Royals,,9
M Vijay,Batsmen,Chennai Super Kings,,8.5
KM Jadhav,Batsmen,Chennai Super Kings,,8.5
DA Miller,Batsmen,Rajasthan Royals,,9
M Vohra,Batsmen,Rajasthan Royals,,8
MJ Santner,AllRounder,Chennai Super Kings,,8.5
SM Curran,AllRounder,Chennai Super Kings,,8.5
R Tewatia,AllRounder,Rajasthan Royals,,9
PP Chawla,Bowler,Mumbai Indians,,8.5
L Ngidi,Bowler,Chennai Super Kings,,8.5
TK Curran,Bowler,Delhi Capitals,,8.5
N Jagadeesan,Batsmen,Chennai Super Kings,,8.5
R Gaikwad,Batsmen,Chennai Super Kings,,8.5
KV Sharma,Bowler,Chennai Super Kings,,8
AS Rajpoot,Bowler,Rajasthan Royals,,8
JC Buttler,Batsmen,Rajasthan Royals,,9.5
K Tyagi,Bowler,Rajasthan Royals,,8
KC Cariappa,Bowler,Rajasthan Royals,,8
M Markande,Bowler,Rajasthan Royals,,8
AB de Villiers,Batsmen,Royal Challengers Bangalore,,10
B Kumar,Bowler,Sunrisers Hyderabad,,8.5
Basil Thampi,Bowler,Sunrisers Hyderabad,,8
KK Ahmed,Bowler,Sunrisers Hyderabad,,8
KS Williamson,Batsmen,Sunrisers Hyderabad,,9
MK Pandey,Batsmen,Sunrisers Hyderabad,,9
Mohammad Nabi,AllRounder,Sunrisers Hyderabad,,8.5
NA Saini,Bowler,Royal Challengers Bangalore,,8
P Negi,Bowler,Kolkata Knight Riders,,8
Rashid Khan,Bowler,Sunrisers Hyderabad,,9.5
UT Yadav,Bowler,Delhi Capitals,,8.5
V Kohli,Batsmen,Royal Challengers Bangalore,,10.5
J Holder,AllRounder,Sunrisers Hyderabad,,8.5
V Shankar,AllRounder,Sunrisers Hyderabad,,8.5
WP Saha,Batsmen,Sunrisers Hyderabad,,8
Washington Sundar,AllRounder,Royal Challengers Bangalore,,8.5
YS Chahal,Bowler,Royal Challengers Bangalore,,9
JM Bairstow,Batsmen,Sunrisers Hyderabad,,10
Abhishek Sharma,Batsmen,Sunrisers Hyderabad,,8
P Garg,Batsmen,Sunrisers Hyderabad,,8
DA Warner,Batsmen,Sunrisers Hyderabad,,10.5
CH Morris,AllRounder,Rajasthan Royals,,9.5
MM Ali,AllRounder,Chennai Super Kings,,8
Yashasvi Jaiswal,Batsmen,Rajasthan Royals,,8
S Dube,AllRounder,Rajasthan Royals,,8
S Kaul,Bowler,Sunrisers Hyderabad,,8.5
Devdutt Padikkal,Batsmen,Royal Challengers Bangalore,,9
I Udana,Bowler,Royal Challengers Bangalore,,8
M Siraj,Bowler,Royal Challengers Bangalore,,8
Sandeep Sharma,Bowler,Sunrisers Hyderabad,,8.5
A Samad,AllRounder,Sunrisers Hyderabad,,8
KM Jadhav,AllRounder,Sunrisers Hyderabad,,8
S Nadeem,Bowler,Sunrisers Hyderabad,,8
RG Sharma,Batsmen,Mumbai Indians,,10
Q de Kock,Batsmen,Mumbai Indians,,10
SA Yadav,Batsmen,Mumbai Indians,,9
SS Tiwary,Batsmen,Mumbai Indians,,8
HH Pandya,AllRounder,Mumbai Indians,,8.5
KA Pollard,AllRounder,Mumbai Indians,,9
KH Pandya,AllRounder,Mumbai Indians,,8
James Pattinson,Batsmen,Mumbai Indians,,8.5
RD Chahar,Bowler,Mumbai Indians,,8.5
TA Boult,Batsmen,Mumbai Indians,,9
JJ Bumrah,Batsmen,Mumbai Indians,,9
Ishan Kishan,Batsmen,Mumbai Indians,,8.5
Shubman Gill,Batsmen,Kolkata Knight Riders,,10
SP Narine,Batsmen,Kolkata Knight Riders,,10
KD Karthik,Batsmen,Kolkata Knight Riders,,10
N Rana,Batsmen,Kolkata Knight Riders,,9.5
EJG Morgan,Batsmen,Kolkata Knight Riders,,10
AD Russell,Batsmen,Kolkata Knight Riders,,8.5
NS Naik,Batsmen,Kolkata Knight Riders,,10
PJ Cummins,Batsmen,Kolkata Knight Riders,,9
Shivam Mavi,Batsmen,Kolkata Knight Riders,,8
Kuldeep Yadav,Bowler,Kolkata Knight Riders,,8
Sandeep Warrier,Bowler,Kolkata Knight Riders,,10
S Billings,Batsmen,Delhi Capitals,,8
Chris Woakes,Bowler,Delhi Capitals,,9
L Yadav,AllRounder,Delhi Capitals,,9
B Cutting,AllRounder,Kolkata Knight Riders,,9
L Ferguson,Bowler,Kolkata Knight Riders,,9
GS Mann,Batsmen,Kolkata Knight Riders,,8
KK Nair,Batsmen,Kolkata Knight Riders,,8
M Prasidh Krishna,Bowler,Kolkata Knight Riders,,9
SA Hasan,AllRounder,Kolkata Knight Riders,,8
Shivam Mavi,AllRounder,Kolkata Knight Riders,,9
RA Tripathi,Batsmen,Kolkata Knight Riders,,9
Varun Chakravarthy,Bowler,Kolkata Knight Riders,,9
NM Coulter-Nile,Bowler,Mumbai Indians,,8.5
M Jansen,Bowler,Mumbai Indians,,8.5
DS Kulkarni,Bowler,Mumbai Indians,,9
CA Lynn,Batsmen,Mumbai Indians,,9
A Milne,Bowler,Mumbai Indians,,9
JDS Neesham,Bowler,Mumbai Indians,,9
AP Tare,Batsmen,Mumbai Indians,,9
J Yadav,Bowler,Mumbai Indians,,9
Fabian Allen,AllRounder,Kings XI Punjab,,8
M Henriques,AllRounder,Kings XI Punjab,,8
DJ Hooda,AllRounder,Kings XI Punjab,,9
CJ Jordan,AllRounder,Kings XI Punjab,,8
SN Khan,Batsmen,Kings XI Punjab,,9
D Malan,Batsmen,Kings XI Punjab,,9
R Meredith,Bowler,Kings XI Punjab,,9
R Bishnoi,Bowler,Kings XI Punjab,,9
J Richardson,Bowler,Kings XI Punjab,,9
Shahrukh Khan,Batsmen,Kings XI Punjab,,9
J Saxena,AllRounder,Kings XI Punjab,,9
M Rahman,Bowler,Rajasthan Royals,,8.5
C Sakariya,Bowler,Rajasthan Royals,,8.5
D Christian,AllRounder,Royal Challengers Bangalore,,9
K Jamieson,Bowler,Royal Challengers Bangalore,,9
Mohammed Azharuddeen,Batsmen,Royal Challengers Bangalore,,9
Shahbaz Ahmed,AllRounder,Royal Challengers Bangalore,,9
D Sams,Bowler,Royal Challengers Bangalore,,9
Jason Roy,Batsmen,Sunrisers Hyderabad,,9
J Suchith,Bowler,Sunrisers Hyderabad,,9
Virat Singh,Batsmen,Sunrisers Hyderabad,,9
MR Marsh,AllRounder,Sunrisers Hyderabad,,
